Name,Class,SubClass,Faction,Role,ThreatRating,TankDoctrine,OptimalRange,HighSlots,MidSlots,LowSlots,RigSlots,Turrets,Launchers,Powergrid_MW,CPU_tf,BaseSpeed_ms,SigRadius_m,DroneBay_m3,DroneBandwidth_Mbit,HullBonuses
Apotheosis,Frigate,Combat Frigate,Society of Conscious Thought,Special Shuttle / Frigate,THREAT_COMBATANT,Shield/Armor Omni,0-15 km,3,3,3,3,3,3,45,150,360,38,0,0,
Arazu,Force Recon,Force Recon Ship,Gallente,Covert Cloak / 40km Scram / Cyno,THREAT_CYNO,Paper Thin,0-40 km,5,5,4,2,3,3,880,470,225,115,40,40,Hybrid Turret damage and tracking speed bonus per level | Armor repairer effectiveness or Armor HP bonus | Role Bonus: Covert Ops Cloaking Device fitting & zero cloak reactivation delay
Arbitrator,Cruiser,Cruiser,Amarr,Tracking Disruptor / Drone Cruiser,THREAT_ECM,Armor Buffer,0-50 km,5,4,5,3,4,4,950,360,220,130,50,50,Energy Turret Damage & Optimal Range bonus per level | Capacitor usage reduction for Energy Weapons | Role Bonus: Extreme Drone HP and Damage output multiplier (up to 500%)
Archon,Carrier,Carrier,Amarr,Capital Fighter Carrier,THREAT_CAPITAL,Armor Buffer,Fighter Range,5,6,6,3,0,0,550000,1100,70,9800,0,0,Energy Turret Damage & Optimal Range bonus per level | Capacitor usage reduction for Energy Weapons
Ares,Interceptor,Interceptor,Gallente,Fast Fleet Tackler,THREAT_COMBATANT,Armor / Shield,0-15 km,3,3,3,2,2,2,38,140,470,32,0,0,Hybrid Turret damage and tracking speed bonus per level | Armor repairer effectiveness or Armor HP bonus
Ark,Jump Freighter,Freighter,Amarr,Capital Jump Freighter,THREAT_HAULER,Armor Buffer,0 km,0,0,3,3,0,0,0,0,65,3500,0,0,Energy Turret Damage & Optimal Range bonus per level | Capacitor usage reduction for Energy Weapons
Armageddon,Battleship,Battleship,Amarr,Heavy Cap Neut / Drone / Missile BS,THREAT_ECM,Armor Buffer,0-50 km,8,6,7,3,7,7,16500,650,115,420,125,100,"Energy Turret Damage & Optimal Range bonus per level | Capacitor usage reduction for Energy Weapons | Missile kinetic/thermal velocity, flight time and explosion radius bonus | Shield resistance or shield capacity bonus | Role Bonus: Extreme Drone HP and Damage output multiplier (up to 500%) | Role Bonus: 100% Energy Drain range and Nosferatu cap-neutral drain bonus"
Armageddon Navy Issue,Faction Battleship,Battleship,Amarr (Navy),Navy Laser / Drone Battleship,THREAT_COMBATANT,Armor Buffer,30-80 km,8,6,7,3,7,7,16500,650,115,420,125,100,Energy Turret Damage & Optimal Range bonus per level | Capacitor usage reduction for Energy Weapons | Role Bonus: Extreme Drone HP and Damage output multiplier (up to 500%)
Ashimmu,Cruiser,Cruiser,Blood Raiders,Heavy Web / NOS Cruiser,THREAT_ECM,Armor,0-25 km,5,4,5,3,4,4,950,360,220,130,50,50,Role Bonus: 90% Stasis Webifier velocity reduction strength | Role Bonus: 100% Energy Drain range and Nosferatu cap-neutral drain bonus
Astarte,Command Ship,Command Ship,Gallente,Armor Fleet Command / Blaster Brawler,THREAT_T2_COMBAT,Immense Armor Buffer,0-20 km,7,5,6,2,5,5,1600,510,165,240,75,50,Hybrid Turret damage and tracking speed bonus per level | Armor repairer effectiveness or Armor HP bonus
Astero,Frigate,Combat Frigate,Sisters of EVE,Covert Ops / Drone Scout,THREAT_PIRATE,Armor Buffer / Dual Rep,0-15 km,3,3,3,3,3,3,45,150,360,38,0,0,Role Bonus: Extreme Drone HP and Damage output multiplier (up to 500%) | Role Bonus: Covert Ops Cloaking Device fitting & zero cloak reactivation delay
Atron,Frigate,Combat Frigate,Gallente,Fast Tackle / Blaster Frigate,THREAT_COMBATANT,Armor / Shield,0-8 km,3,3,3,3,3,3,45,150,360,38,0,0,Hybrid Turret damage and tracking speed bonus per level | Armor repairer effectiveness or Armor HP bonus
Augoror,Cruiser,Logistics Cruiser,Amarr,Armor Logistics Cruiser,THREAT_LOGI,Armor,Remote Armor (Cap Transfer),5,5,4,2,0,0,1050,440,240,110,25,25,Energy Turret Damage & Optimal Range bonus per level | Capacitor usage reduction for Energy Weapons
Augoror Navy Issue,Faction Cruiser,Cruiser,Amarr (Navy),Heavy Armor Laser Brawler,THREAT_COMBATANT,Battleship-Grade Armor Buffer,0-20 km,5,4,5,3,4,4,950,360,220,130,50,50,Energy Turret Damage & Optimal Range bonus per level | Capacitor usage reduction for Energy Weapons
Avatar,Titan,Titan,Amarr,Supercapital Judgement Titan,THREAT_SUPER,Immense Armor Buffer,Omni Grid,8,7,8,3,6,6,4500000,2500,50,35000,0,0,Energy Turret Damage & Optimal Range bonus per level | Capacitor usage reduction for Energy Weapons
Azariel,Titan,Titan,Angel Cartel,Pirate Supercapital Titan,THREAT_SUPER,Shield Buffer,Omni Capital Range,8,7,8,3,6,6,4500000,2500,50,35000,0,0,
Badger,Industrial,Industrial,Caldari,Standard Hauler,THREAT_HAULER,Paper Thin,0 km,2,4,4,3,0,0,95,250,130,240,0,0,"Missile kinetic/thermal velocity, flight time and explosion radius bonus | Shield resistance or shield capacity bonus"
Bane,Lancer Dreadnought,Dreadnought,Amarr,Disruptive Lancer Dread,THREAT_CAPITAL,Armor Active,Lancer Beam,6,5,7,3,3,3,650000,950,75,8500,0,0,Energy Turret Damage & Optimal Range bonus per level | Capacitor usage reduction for Energy Weapons
Bantam,Frigate,Logistics Cruiser,Caldari,Shield Logistics Frigate,THREAT_LOGI,Shield,Remote Shield,5,5,4,2,0,0,1050,440,240,110,25,25,"Missile kinetic/thermal velocity, flight time and explosion radius bonus | Shield resistance or shield capacity bonus"
Barghest,Battleship,Battleship,Mordu's Legion,Heavy Point / Cruise Battleship,THREAT_PIRATE,Shield,50-100 km,8,6,7,3,7,7,16500,650,115,420,125,100,
Basilisk,Logistics Cruiser,Logistics Cruiser,Caldari,T2 Cap-Chain Shield Logistics,THREAT_LOGI,Shield,Remote Shield (Cap Transfer),5,5,4,2,0,0,1050,440,240,110,25,25,"Missile kinetic/thermal velocity, flight time and explosion radius bonus | Shield resistance or shield capacity bonus"
Bellicose,Cruiser,Cruiser,Minmatar,Target Painter / Missile Cruiser,THREAT_ECM,Shield Buffer,30-70 km,5,4,5,3,4,4,950,360,220,130,50,50,"Missile kinetic/thermal velocity, flight time and explosion radius bonus | Shield resistance or shield capacity bonus | Projectile Turret rate of fire and falloff bonus per level | Sub-warp velocity and signature radius mobility bonus"
Bestower,Industrial,Industrial,Amarr,High-Capacity Hauler,THREAT_HAULER,Paper Thin,0 km,2,4,4,3,0,0,95,250,130,240,0,0,Energy Turret Damage & Optimal Range bonus per level | Capacitor usage reduction for Energy Weapons
Bhaalgorn,Battleship,Battleship,Blood Raiders,Fleet Cap Drain / Heavy Web,THREAT_ECM,Armor,0-40 km,8,6,7,3,7,7,16500,650,115,420,125,100,Role Bonus: 90% Stasis Webifier velocity reduction strength | Role Bonus: 100% Energy Drain range and Nosferatu cap-neutral drain bonus
Bifrost,Command Destroyer,Command Destroyer,Minmatar,Micro Jump Field / Shield Skiff,THREAT_BUBBLE,Shield Buffer,0-20 km,6,4,4,2,4,4,88,245,330,62,0,0,Projectile Turret rate of fire and falloff bonus per level | Sub-warp velocity and signature radius mobility bonus
Blackbird,Cruiser,Cruiser,Caldari,Fleet ECM Jammer,THREAT_ECM,Shield Buffer,50-100 km,5,4,5,3,4,4,950,360,220,130,50,50,"Missile kinetic/thermal velocity, flight time and explosion radius bonus | Shield resistance or shield capacity bonus"
Bowhead,Freighter,Freighter,ORE,Assembled Ship Transport,THREAT_HAULER,Shield Buffer,0 km,0,0,3,3,0,0,0,0,65,3500,0,0,
Breacher,Frigate,Combat Frigate,Minmatar,Dual MASB Missile Brawler,THREAT_COMBATANT,Dual MASB Active Shield,0-25 km,3,3,3,3,3,3,45,150,360,38,0,0,"Missile kinetic/thermal velocity, flight time and explosion radius bonus | Shield resistance or shield capacity bonus | Projectile Turret rate of fire and falloff bonus per level | Sub-warp velocity and signature radius mobility bonus"
Broadsword,Heavy Interdiction Cruiser,Heavy Interdiction Cruiser,Minmatar,Warp Disruption Field Generator,THREAT_BUBBLE,Immense Shield Buffer,0-20 km (Bubble) / Infinite Scram,6,6,4,2,4,4,1300,430,210,140,25,25,Projectile Turret rate of fire and falloff bonus per level | Sub-warp velocity and signature radius mobility bonus
Brutix,Battlecruiser,Battlecruiser,Gallente,Blaster / Rail Brawler BC,THREAT_COMBATANT,Armor Buffer / Active,0-20 km (Blaster) / 40-80 km (Rail),7,5,6,3,6,6,1350,440,155,260,50,50,Hybrid Turret damage and tracking speed bonus per level | Armor repairer effectiveness or Armor HP bonus
Brutix Navy Issue,Faction Battlecruiser,Battlecruiser,Gallente (Navy),Navy Hybrid Brawler BC,THREAT_COMBATANT,Armor Buffer,0-25 km,7,5,6,3,6,6,1350,440,155,260,50,50,Hybrid Turret damage and tracking speed bonus per level | Armor repairer effectiveness or Armor HP bonus
Burst,Frigate,Logistics Cruiser,Minmatar,Shield Logistics Frigate,THREAT_LOGI,Shield,Remote Shield,5,5,4,2,0,0,1050,440,240,110,25,25,Projectile Turret rate of fire and falloff bonus per level | Sub-warp velocity and signature radius mobility bonus
Bustard,Deep Space Transport,Combat Frigate,Caldari,Heavy Shield DST,THREAT_HAULER,Immense Shield Buffer (+2 Warp Core),0 km,3,3,3,3,3,3,45,150,360,38,0,0,"Missile kinetic/thermal velocity, flight time and explosion radius bonus | Shield resistance or shield capacity bonus"
Buzzard,Covert Ops,Covert Ops,Caldari,Stealth Scout / Cyno,THREAT_COVERT,Paper Thin,Covert,3,4,2,2,1,1,28,210,330,34,0,0,"Missile kinetic/thermal velocity, flight time and explosion radius bonus | Shield resistance or shield capacity bonus | Role Bonus: Covert Ops Cloaking Device fitting & zero cloak reactivation delay"
Caiman,Dreadnought,Dreadnought,Guristas,Pirate Missile / Drone Dread,THREAT_CAPITAL,Shield Active,Capital Grid,6,5,7,3,3,3,650000,950,75,8500,0,0,"Missile kinetic/thermal velocity, flight time and explosion radius bonus | Shield resistance or shield capacity bonus | Role Bonus: Extreme Drone HP and Damage output multiplier (up to 500%)"
Caldari Navy Hookbill,Faction Frigate,Combat Frigate,Caldari (Navy),Dual Web Rocket / Missile Brawler,THREAT_COMBATANT,Shield Buffer / Active,0-25 km,3,3,3,3,3,3,45,150,360,38,0,0,"Missile kinetic/thermal velocity, flight time and explosion radius bonus | Shield resistance or shield capacity bonus | Role Bonus: 90% Stasis Webifier velocity reduction strength"
Caracal,Cruiser,Cruiser,Caldari,Rapid Light / Heavy Missile Cruiser,THREAT_COMBATANT,Shield Buffer,30-65 km,5,4,5,3,4,4,950,360,220,130,50,50,"Missile kinetic/thermal velocity, flight time and explosion radius bonus | Shield resistance or shield capacity bonus"
Caracal Navy Issue,Faction Cruiser,Cruiser,Caldari (Navy),Heavy Missile / Rapid Light Cruiser,THREAT_COMBATANT,Shield Buffer,30-75 km,5,4,5,3,4,4,950,360,220,130,50,50,"Missile kinetic/thermal velocity, flight time and explosion radius bonus | Shield resistance or shield capacity bonus"
Catalyst,Destroyer,Destroyer,Gallente,High DPS Blaster Ganker / Destroyer,THREAT_COMBATANT,Armor / Hull Buffer,0-8 km (Blasters) / 20-50 km (Rails),8,2,3,3,7,7,72,200,310,65,0,0,Hybrid Turret damage and tracking speed bonus per level | Armor repairer effectiveness or Armor HP bonus
Catalyst Navy Issue,Faction Destroyer,Destroyer,Gallente (Navy),Navy Blaster / Rail Destroyer,THREAT_COMBATANT,Armor / Hull Buffer,0-15 km,8,2,3,3,7,7,72,200,310,65,0,0,Hybrid Turret damage and tracking speed bonus per level | Armor repairer effectiveness or Armor HP bonus
Celestis,Cruiser,Cruiser,Gallente,Remote Sensor Dampener Cruiser,THREAT_ECM,Armor Buffer,40-90 km,5,4,5,3,4,4,950,360,220,130,50,50,Hybrid Turret damage and tracking speed bonus per level | Armor repairer effectiveness or Armor HP bonus
Cerberus,Heavy Assault Cruiser,Heavy Assault Cruiser,Caldari,HAC Heavy Missile Sniper,THREAT_T2_COMBAT,Shield Buffer + ADC,50-100 km,5,4,6,2,5,5,1150,410,230,125,50,50,"Missile kinetic/thermal velocity, flight time and explosion radius bonus | Shield resistance or shield capacity bonus"
Charon,Freighter,Freighter,Caldari,Standard Sub-Capital Freighter,THREAT_HAULER,Buffer,0 km,0,0,3,3,0,0,0,0,65,3500,0,0,"Missile kinetic/thermal velocity, flight time and explosion radius bonus | Shield resistance or shield capacity bonus"
Cheetah,Covert Ops,Covert Ops,Minmatar,Stealth Scout / Cyno,THREAT_COVERT,Paper Thin,Covert,3,4,2,2,1,1,28,210,330,34,0,0,Projectile Turret rate of fire and falloff bonus per level | Sub-warp velocity and signature radius mobility bonus | Role Bonus: Covert Ops Cloaking Device fitting & zero cloak reactivation delay
Chemosh,Dreadnought,Dreadnought,Blood Raiders,Pirate Cap Drain Dread,THREAT_CAPITAL,Armor Active,Capital Grid,6,5,7,3,3,3,650000,950,75,8500,0,0,Role Bonus: 100% Energy Drain range and Nosferatu cap-neutral drain bonus
Chimera,Carrier,Carrier,Caldari,Capital Fighter Carrier,THREAT_CAPITAL,Shield Buffer,Fighter Range,5,6,6,3,0,0,550000,1100,70,9800,0,0,"Missile kinetic/thermal velocity, flight time and explosion radius bonus | Shield resistance or shield capacity bonus"
Claw,Interceptor,Interceptor,Minmatar,Artillery / AC Fleet Interceptor,THREAT_COMBATANT,Shield / Armor,0-20 km,3,3,3,2,2,2,38,140,470,32,0,0,Projectile Turret rate of fire and falloff bonus per level | Sub-warp velocity and signature radius mobility bonus
Claymore,Command Ship,Command Ship,Minmatar,Shield Fleet Command / Missile,THREAT_T2_COMBAT,Immense Shield Buffer,20-60 km,7,5,6,2,5,5,1600,510,165,240,75,50,"Missile kinetic/thermal velocity, flight time and explosion radius bonus | Shield resistance or shield capacity bonus | Projectile Turret rate of fire and falloff bonus per level | Sub-warp velocity and signature radius mobility bonus"
Coercer,Destroyer,Destroyer,Amarr,Pulse / Beam Laser Destroyer,THREAT_COMBATANT,Armor Buffer,0-15 km (Pulse) / 30-65 km (Beam),8,2,3,3,7,7,72,200,310,65,0,0,Energy Turret Damage & Optimal Range bonus per level | Capacitor usage reduction for Energy Weapons
Coercer Navy Issue,Faction Destroyer,Destroyer,Amarr (Navy),Navy Laser Destroyer,THREAT_COMBATANT,Armor Buffer,0-25 km / 40-80 km,8,2,3,3,7,7,72,200,310,65,0,0,Energy Turret Damage & Optimal Range bonus per level | Capacitor usage reduction for Energy Weapons
Condor,Frigate,Combat Frigate,Caldari,Missile Kiter / Light Tackle,THREAT_COMBATANT,Shield,20-35 km,3,3,3,3,3,3,45,150,360,38,0,0,"Missile kinetic/thermal velocity, flight time and explosion radius bonus | Shield resistance or shield capacity bonus"
Confessor,Tactical Destroyer,Tactical Destroyer,Amarr,T3 Mode-Switching Laser Destroyer,THREAT_T2_COMBAT,Active / Passive Armor,15-50 km,6,4,4,1,4,4,84,235,315,60,0,0,Energy Turret Damage & Optimal Range bonus per level | Capacitor usage reduction for Energy Weapons
Corax,Destroyer,Destroyer,Caldari,Light Missile / Rocket Destroyer,THREAT_COMBATANT,Shield Buffer,20-50 km,8,2,3,3,7,7,72,200,310,65,0,0,"Missile kinetic/thermal velocity, flight time and explosion radius bonus | Shield resistance or shield capacity bonus"
Cormorant,Destroyer,Destroyer,Caldari,Rail Sniper / Blaster Destroyer,THREAT_COMBATANT,Shield Buffer,30-70 km (Rails) / 0-10 km (Blasters),8,2,3,3,7,7,72,200,310,65,0,0,"Missile kinetic/thermal velocity, flight time and explosion radius bonus | Shield resistance or shield capacity bonus | Hybrid Turret damage and tracking speed bonus per level | Armor repairer effectiveness or Armor HP bonus"
Cormorant Navy Issue,Faction Destroyer,Destroyer,Caldari (Navy),Navy Rail Sniper Destroyer,THREAT_COMBATANT,Shield Buffer,40-90 km,8,2,3,3,7,7,72,200,310,65,0,0,"Missile kinetic/thermal velocity, flight time and explosion radius bonus | Shield resistance or shield capacity bonus | Hybrid Turret damage and tracking speed bonus per level | Armor repairer effectiveness or Armor HP bonus"
Covetor,Mining Barge,Mining Barge,ORE,High Yield Mining Barge,THREAT_MINING,Paper Thin,0-15 km,2,4,2,3,2,0,45,260,100,200,50,25,
Crane,Blockade Runner,Combat Frigate,Caldari,Covert Fast Hauler,THREAT_HAULER,Cloaked Shield,0 km,3,3,3,3,3,3,45,150,360,38,0,0,"Missile kinetic/thermal velocity, flight time and explosion radius bonus | Shield resistance or shield capacity bonus | Role Bonus: Covert Ops Cloaking Device fitting & zero cloak reactivation delay"
Crow,Interceptor,Interceptor,Caldari,Long-Range Light Missile Kiter,THREAT_COMBATANT,Shield,25-45 km,3,3,3,2,2,2,38,140,470,32,0,0,"Missile kinetic/thermal velocity, flight time and explosion radius bonus | Shield resistance or shield capacity bonus"
Crucifier,Frigate,Combat Frigate,Amarr,Tracking Disruptor Frigate,THREAT_ECM,Paper Thin,30-70 km,3,3,3,3,3,3,45,150,360,38,0,0,Energy Turret Damage & Optimal Range bonus per level | Capacitor usage reduction for Energy Weapons
Crucifier Navy Issue,Faction Frigate,Combat Frigate,Amarr (Navy),Tracking Disruptor / Laser Brawler,THREAT_ECM,Armor,0-15 km,3,3,3,3,3,3,45,150,360,38,0,0,Energy Turret Damage & Optimal Range bonus per level | Capacitor usage reduction for Energy Weapons
Cruor,Frigate,Combat Frigate,Blood Raiders,Web / NOS Frigate,THREAT_ECM,Armor,0-15 km,3,3,3,3,3,3,45,150,360,38,0,0,Role Bonus: 90% Stasis Webifier velocity reduction strength | Role Bonus: 100% Energy Drain range and Nosferatu cap-neutral drain bonus
Crusader,Interceptor,Interceptor,Amarr,Laser Fleet Tackler,THREAT_COMBATANT,Armor,0-15 km,3,3,3,2,2,2,38,140,470,32,0,0,Energy Turret Damage & Optimal Range bonus per level | Capacitor usage reduction for Energy Weapons
Curse,Combat Recon,Combat Recon Ship,Amarr,D-Scan Immune 50km Cap Neut,THREAT_ECM,Armor / Shield Buffer,30-60 km,5,5,4,2,4,4,900,480,215,120,50,50,Energy Turret Damage & Optimal Range bonus per level | Capacitor usage reduction for Energy Weapons | Role Bonus: 100% Energy Drain range and Nosferatu cap-neutral drain bonus
Cyclone,Battlecruiser,Battlecruiser,Minmatar,Active Shield Missile / AC BC,THREAT_COMBATANT,Active Shield (Dual MASB / XL-ASB),15-40 km,7,5,6,3,6,6,1350,440,155,260,50,50,"Missile kinetic/thermal velocity, flight time and explosion radius bonus | Shield resistance or shield capacity bonus | Projectile Turret rate of fire and falloff bonus per level | Sub-warp velocity and signature radius mobility bonus"
Cyclone Navy Issue,Faction Battlecruiser,Battlecruiser,Minmatar (Fleet),Heavy Missile / Shield BC,THREAT_COMBATANT,Shield Buffer,20-60 km,7,5,6,3,6,6,1350,440,155,260,50,50,"Missile kinetic/thermal velocity, flight time and explosion radius bonus | Shield resistance or shield capacity bonus | Projectile Turret rate of fire and falloff bonus per level | Sub-warp velocity and signature radius mobility bonus"
Cynabal,Cruiser,Cruiser,Angel Cartel,Nano Skirmisher / Fleet Cruiser,THREAT_PIRATE,Shield Buffer / Active,15-28 km (425mm Autocannons / Barrage),5,4,5,3,4,4,950,360,220,130,50,50,
Dagon,Force Auxiliary,Force Auxiliary,Blood Raiders,Pirate Armor FAX,THREAT_CAPITAL,Armor Active,Fleet Remote Armor,5,6,6,3,0,0,580000,1050,65,9500,0,0,Role Bonus: 100% Energy Drain range and Nosferatu cap-neutral drain bonus
Damavik,Frigate,Combat Frigate,Triglavian,Spooling Disintegrator Frigate,THREAT_PIRATE,Armor,5-18 km,3,3,3,3,3,3,45,150,360,38,0,0,
Damnation,Command Ship,Command Ship,Amarr,Armor Fleet Command Flagship,THREAT_T2_COMBAT,Immense Armor Buffer (300k+ EHP),0-30 km,7,5,6,2,5,5,1600,510,165,240,75,50,Energy Turret Damage & Optimal Range bonus per level | Capacitor usage reduction for Energy Weapons
Daredevil,Frigate,Combat Frigate,Serpentis,90% Web Blaster Frigate,THREAT_PIRATE,Armor,0-8 km,3,3,3,3,3,3,45,150,360,38,0,0,Hybrid Turret damage and tracking speed bonus per level | Armor repairer effectiveness or Armor HP bonus | Role Bonus: 90% Stasis Webifier velocity reduction strength
Deacon,Logistics Frigate,Logistics Cruiser,Amarr,T2 Armor Logistics Frigate,THREAT_LOGI,Armor,Remote Armor,5,5,4,2,0,0,1050,440,240,110,25,25,Energy Turret Damage & Optimal Range bonus per level | Capacitor usage reduction for Energy Weapons
Deimos,Heavy Assault Cruiser,Heavy Assault Cruiser,Gallente,HAC Active Armor Brawler,THREAT_T2_COMBAT,Active Armor + ADC,0-15 km,5,4,6,2,5,5,1150,410,230,125,50,50,Hybrid Turret damage and tracking speed bonus per level | Armor repairer effectiveness or Armor HP bonus
Devoter,Heavy Interdiction Cruiser,Heavy Interdiction Cruiser,Amarr,Warp Disruption Field Generator,THREAT_BUBBLE,Immense Armor Buffer,0-20 km (Bubble) / Infinite Scram,6,6,4,2,4,4,1300,430,210,140,25,25,Energy Turret Damage & Optimal Range bonus per level | Capacitor usage reduction for Energy Weapons
Dominix,Battleship,Battleship,Gallente,Drone / Cap Neutralizer Battleship,THREAT_COMBATANT,Armor Buffer / Active / Hull,0-80 km,8,6,7,3,7,7,16500,650,115,420,125,100,Hybrid Turret damage and tracking speed bonus per level | Armor repairer effectiveness or Armor HP bonus | Role Bonus: Extreme Drone HP and Damage output multiplier (up to 500%) | Role Bonus: 100% Energy Drain range and Nosferatu cap-neutral drain bonus
Dominix Navy Issue,Faction Battleship,Battleship,Gallente (Navy),Navy Hybrid / Drone Battleship,THREAT_COMBATANT,Armor Buffer,0-80 km,8,6,7,3,7,7,16500,650,115,420,125,100,Hybrid Turret damage and tracking speed bonus per level | Armor repairer effectiveness or Armor HP bonus | Role Bonus: Extreme Drone HP and Damage output multiplier (up to 500%)
Dragoon,Destroyer,Destroyer,Amarr,Drone / Cap Neutralizer Destroyer,THREAT_ECM,Armor Buffer,0-30 km,8,2,3,3,7,7,72,200,310,65,0,0,Energy Turret Damage & Optimal Range bonus per level | Capacitor usage reduction for Energy Weapons | Role Bonus: Extreme Drone HP and Damage output multiplier (up to 500%) | Role Bonus: 100% Energy Drain range and Nosferatu cap-neutral drain bonus
Drake,Battlecruiser,Battlecruiser,Caldari,Heavy Missile Fleet BC,THREAT_COMBATANT,Massive Shield Buffer / Passive,30-70 km,7,5,6,3,6,6,1350,440,155,260,50,50,"Missile kinetic/thermal velocity, flight time and explosion radius bonus | Shield resistance or shield capacity bonus"
Drake Navy Issue,Faction Battlecruiser,Battlecruiser,Caldari (Navy),Heavy Missile / Shield BC,THREAT_COMBATANT,Shield Buffer,35-80 km,7,5,6,3,6,6,1350,440,155,260,50,50,"Missile kinetic/thermal velocity, flight time and explosion radius bonus | Shield resistance or shield capacity bonus"
Dramiel,Frigate,Interceptor,Angel Cartel,Pirate Interceptor / Tackler,THREAT_PIRATE,Shield Buffer / Active,0-12 km (Autocannons),3,3,3,2,2,2,38,140,470,32,0,0,
Drekavac,Battlecruiser,Battlecruiser,Triglavian,Heavy Disintegrator / Armor Links,THREAT_PIRATE,Armor,15-45 km,7,5,6,3,6,6,1350,440,155,260,50,50,
Eagle,Heavy Assault Cruiser,Heavy Assault Cruiser,Caldari,HAC Rail Sniper,THREAT_T2_COMBAT,Shield Buffer + ADC,60-120 km,5,4,6,2,5,5,1150,410,230,125,50,50,"Missile kinetic/thermal velocity, flight time and explosion radius bonus | Shield resistance or shield capacity bonus | Hybrid Turret damage and tracking speed bonus per level | Armor repairer effectiveness or Armor HP bonus"
Endurance,Expedition Frigate,Combat Frigate,ORE,Cloaked Ice Mining Frigate,THREAT_MINING,Shield Buffer,0-15 km,3,3,3,3,3,3,45,150,360,38,0,0,
Enforcer,Cruiser,Cruiser,CONCORD,Covert Combat Cruiser,THREAT_COVERT,Shield / Armor,0-35 km,5,4,5,3,4,4,950,360,220,130,50,50,Role Bonus: Covert Ops Cloaking Device fitting & zero cloak reactivation delay
Enyo,Assault Frigate,Assault Frigate,Gallente,High DPS Blaster Assault,THREAT_T2_COMBAT,Armor Buffer + ADC,0-8 km,4,3,4,2,3,3,58,175,380,35,0,0,Hybrid Turret damage and tracking speed bonus per level | Armor repairer effectiveness or Armor HP bonus
Eos,Command Ship,Command Ship,Gallente,Armor Fleet Command / Heavy Drone,THREAT_T2_COMBAT,Immense Armor Buffer / Active,0-60 km,7,5,6,2,5,5,1600,510,165,240,75,50,Hybrid Turret damage and tracking speed bonus per level | Armor repairer effectiveness or Armor HP bonus | Role Bonus: Extreme Drone HP and Damage output multiplier (up to 500%)
